Driver,value
SCHUMACHER Michael,56
ALONSO Fernando,21
RAIKKONEN Kimi,17
MASSA Felipe,11
BARRICHELLO Rubens,9
HAMILTON Lewis,9
COULTHARD David,7
MONTOYA Juan-Pablo,7
HAKKINEN Mika,6
SCHUMACHER Ralf,6
FISICHELLA Giancarlo,3
BUTTON Jenson,2
TRULLI Jarno,1
KUBICA Robert,1
KOVALAINEN Heikki,1
VETTEL Sebastian,1
